time_s,coverage_pct
0.631,0.000
1.131,0.000
1.631,0.000
2.131,5.000
2.631,5.000
3.131,5.000
3.631,5.000
4.131,6.000
4.631,7.000
5.131,7.000
5.631,7.000
6.131,7.000
6.631,7.000
7.131,7.000
7.631,7.000
8.131,7.000
8.631,7.000
9.131,7.000
9.631,7.000
10.131,7.000
10.631,7.000
11.131,7.000
11.631,7.000
12.131,7.000
12.631,7.000
13.131,7.000
13.631,7.000
14.131,7.000
14.631,7.000
15.131,7.000
15.631,7.000
16.131,7.000
16.631,7.000
17.131,7.000
17.631,7.000
18.131,7.000
18.631,7.000
19.131,7.000
19.631,7.000
20.131,7.000
20.631,7.000
21.131,7.000
21.631,7.000
22.131,7.000
22.631,7.000
23.131,7.000
23.631,7.000
24.131,7.000
24.631,7.000
25.131,7.000
25.631,7.000
26.131,7.000
26.631,7.000
27.131,7.000
27.631,7.000
28.131,7.000
28.631,7.000
29.131,7.000
29.631,7.000
30.131,8.000
30.631,8.000
31.131,8.000
31.631,8.000
32.131,8.000
32.631,8.000
33.131,8.000
33.631,8.000
34.131,8.000
34.631,8.000
35.131,8.000
35.631,8.000
36.131,8.000
36.631,8.000
37.131,8.000
37.631,8.000
38.131,8.000
38.631,8.000
39.131,8.000
39.631,8.000
40.131,8.000
40.631,9.000
41.131,9.000
41.631,9.000
42.131,9.000
42.631,9.000
43.131,9.000
43.631,9.000
44.131,9.000
44.631,9.000
45.131,9.000
45.631,9.000
46.131,9.000
46.631,9.000
47.131,9.000
47.631,9.000
48.131,9.000
48.631,9.000
49.131,9.000
49.631,9.000
50.131,9.000
50.631,9.000
51.131,9.000
51.631,9.000
52.131,9.000
52.631,9.000
53.131,9.000
53.631,9.000
54.131,9.000
54.631,9.000
55.131,9.000
55.631,9.000
56.131,9.000
56.631,9.000
57.131,9.000
57.631,9.000
58.131,9.000
58.631,9.000
59.131,9.000
59.631,9.000
60.131,9.000
60.631,9.000
61.131,9.000
61.631,9.000
62.131,9.000
62.631,9.000
63.131,9.000
63.631,9.000
64.131,9.000
64.631,9.000
65.131,9.000
65.631,9.000
66.131,9.000
66.631,9.000
67.131,9.000
67.631,9.000
68.131,9.000
68.631,9.000
69.131,9.000
69.631,9.000
70.131,9.000
70.631,9.000
71.131,9.000
71.631,9.000
72.131,9.000
72.631,9.000
73.131,9.000
73.631,9.000
74.131,9.000
74.631,9.000
75.131,10.000
75.631,10.000
76.131,10.000
76.631,10.000
77.131,10.000
77.631,10.000
78.131,10.000
78.631,10.000
79.131,10.000
79.631,10.000
80.131,10.000
80.631,10.000
81.131,10.000
81.631,10.000
82.131,10.000
82.631,10.000
83.131,10.000
83.631,10.000
84.131,10.000
84.631,10.000
85.131,10.000
85.631,10.000
86.131,10.000
86.631,10.000
87.131,10.000
87.631,10.000
88.131,10.000
88.631,10.000
89.131,10.000
89.631,10.000
90.131,10.000
90.631,10.000
91.131,10.000
91.631,10.000
92.131,10.000
92.631,10.000
93.131,10.000
93.631,10.000
94.131,10.000
94.631,10.000
95.131,10.000
95.631,10.000
96.131,10.000
96.631,10.000
97.131,10.000
97.631,10.000
98.131,10.000
98.631,10.000
99.131,10.000
99.631,10.000
100.131,10.000
100.631,10.000
101.131,10.000
101.631,10.000
102.131,10.000
102.631,10.000
103.131,10.000
103.631,10.000
104.131,10.000
104.631,10.000
105.131,10.000
105.631,10.000
106.131,10.000
106.631,10.000
107.131,10.000
107.631,10.000
108.131,10.000
108.631,10.000
109.131,10.000
109.631,10.000
110.131,10.000
110.631,10.000
111.131,10.000
111.631,10.000
112.131,10.000
112.631,10.000
113.131,10.000
113.631,10.000
114.131,10.000
114.631,10.000
115.131,10.000
115.631,10.000
116.131,10.000
116.631,10.000
117.131,11.000
117.631,11.000
118.131,11.000
118.631,11.000
119.131,11.000
119.631,11.000
120.131,11.000
120.631,11.000
121.131,11.000
121.631,11.000
122.131,11.000
122.631,11.000
123.131,11.000
123.631,11.000
124.131,11.000
124.631,11.000
125.131,11.000
125.631,11.000
126.131,11.000
126.631,11.000
127.131,11.000
127.631,11.000
128.131,11.000
128.631,11.000
129.131,11.000
129.631,11.000
130.131,11.000
130.631,11.000
131.131,11.000
131.631,11.000
132.131,11.000
132.631,11.000
133.131,12.000
133.631,12.000
134.131,12.000
134.631,12.000
135.131,12.000
135.631,12.000
136.131,12.000
136.631,12.000
137.131,12.000
137.631,12.000
138.131,12.000
138.631,12.000
139.131,12.000
139.631,12.000
140.131,12.000
140.631,12.000
